ensembl_id,log2FC,padj,comp_name
ENSG00000198732,0.487,7.42028398892404e-07,ENSG00000198732_amide
ENSG00000173918,0.564,7.5962869010801e-07,ENSG00000173918_amide
ENSG00000067064,0.482,8.7364539029614e-07,ENSG00000067064_amide
ENSG00000165891,0.37,9.62520824954254e-07,ENSG00000165891_amide
ENSG00000075218,0.482,9.78517450292984e-07,ENSG00000075218_amide
ENSG00000188811,-0.75,1.03199151821436e-06,ENSG00000188811_amide
ENSG00000112249,-0.284,1.11221870265689e-06,ENSG00000112249_amide
ENSG00000152894,0.416,1.11221870265689e-06,ENSG00000152894_amide
ENSG00000127616,0.603,1.16267658336989e-06,ENSG00000127616_amide
ENSG00000081087,-0.396,1.22866025893614e-06,ENSG00000081087_amide
ENSG00000117318,0.562,1.29565103581636e-06,ENSG00000117318_amide
ENSG00000111817,0.449,1.31048286702869e-06,ENSG00000111817_amide
ENSG00000153066,0.389,1.35843942829171e-06,ENSG00000153066_amide
ENSG00000143473,-0.715,1.44345870867727e-06,ENSG00000143473_amide
ENSG00000164070,-0.43,1.45446496155779e-06,ENSG00000164070_amide
ENSG00000180694,-0.594,1.54355653463621e-06,ENSG00000180694_amide
ENSG00000029725,0.529,1.57850435094284e-06,ENSG00000029725_amide
ENSG00000018408,0.324,1.58408840290926e-06,ENSG00000018408_amide
ENSG00000119661,0.686,1.65646672655303e-06,ENSG00000119661_amide
ENSG00000112149,0.475,1.7275262955508e-06,ENSG00000112149_amide
ENSG00000178695,-0.318,1.78332923795056e-06,ENSG00000178695_amide
ENSG00000116199,0.404,1.78347427645984e-06,ENSG00000116199_amide
ENSG00000197063,0.477,1.84141924976728e-06,ENSG00000197063_amide
ENSG00000115902,0.415,1.99593007270511e-06,ENSG00000115902_amide
ENSG00000105849,0.451,2.01845258283136e-06,ENSG00000105849_amide
ENSG00000102471,-0.457,2.12495179938386e-06,ENSG00000102471_amide
ENSG00000124357,0.663,2.12495179938386e-06,ENSG00000124357_amide
ENSG00000198176,-0.365,2.15057776823679e-06,ENSG00000198176_amide
ENSG00000177425,-0.392,2.19436847211871e-06,ENSG00000177425_amide
ENSG00000185722,-0.319,2.35817041747924e-06,ENSG00000185722_amide
ENSG00000159259,-0.524,2.38964161635104e-06,ENSG00000159259_amide
ENSG00000138756,-0.415,2.50491765037297e-06,ENSG00000138756_amide
ENSG00000183864,0.328,2.70864636182694e-06,ENSG00000183864_amide
ENSG00000165675,0.696,2.80052414322791e-06,ENSG00000165675_amide
ENSG00000068912,0.43,2.80604528231465e-06,ENSG00000068912_amide
